,source,target,weight
613,32,25,15
614,32,26,14
615,32,27,13
616,32,28,12
617,32,29,11
618,32,30,10
619,32,31,9
620,32,33,7
621,32,34,6
622,32,35,5
623,32,36,4
624,32,37,3
625,32,38,2
626,32,39,1
627,33,20,20
628,33,21,19
629,33,22,18
630,33,23,17
631,33,24,16
632,33,25,15
633,33,26,14
634,33,27,13
635,33,28,12
636,33,29,11
637,33,30,10
638,33,31,9
639,33,32,8
640,33,34,6
641,33,35,5
642,33,36,4
643,33,37,3
644,33,38,2
645,33,39,1
646,34,20,20
647,34,21,19
648,34,22,18
649,34,23,17
650,34,24,16
651,34,25,15
652,34,26,14
653,34,27,13
654,34,28,12
655,34,29,11
656,34,30,10
657,34,31,9
658,34,32,8
659,34,33,7
660,34,35,5
661,34,36,4
662,34,37,3
663,34,38,2
664,34,39,1
665,35,20,20
666,35,21,19
667,35,22,18
668,35,23,17
669,35,24,16
670,35,25,15
671,35,26,14
672,35,27,13
673,35,28,12
674,35,29,11
675,35,30,10
676,35,31,9
677,35,32,8
678,35,33,7
679,35,34,6
680,35,36,4
681,35,37,3
682,35,38,2
683,35,39,1
684,36,20,20
685,36,21,19
686,36,22,18
687,36,23,17
688,36,24,16
689,36,25,15
690,36,26,14
691,36,27,13
692,36,28,12
693,36,29,11
694,36,30,10
695,36,31,9
696,36,32,8
697,36,33,7
698,36,34,6
699,36,35,5
700,36,37,3
701,36,38,2
702,36,39,1
703,37,20,20
704,37,21,19
705,37,22,18
706,37,23,17
707,37,24,16
708,37,25,15
709,37,26,14
710,37,27,13
711,37,28,12
712,37,29,11
713,37,30,10
714,37,31,9
715,37,32,8
716,37,33,7
717,37,34,6
718,37,35,5
719,37,36,4
720,37,38,2
721,37,39,1
722,38,20,20
723,38,21,19
724,38,22,18
725,38,23,17
726,38,24,16
727,38,25,15
728,38,26,14
729,38,27,13
730,38,28,12
731,38,29,11
732,38,30,10
733,38,31,9
734,38,32,8
735,38,33,7
736,38,34,6
737,38,35,5
738,38,36,4
739,38,37,3
740,38,39,1
741,39,20,20
742,39,21,19
743,39,22,18
744,39,23,17
745,39,24,16
746,39,25,15
747,39,26,14
748,39,27,13
749,39,28,12
750,39,29,11
751,39,30,10
752,39,31,9
753,39,32,8
754,39,33,7
755,39,34,6
756,39,35,5
757,39,36,4
758,39,37,3
759,39,38,2
760,40,41,19
761,40,42,18
762,40,43,17
763,40,23,16
764,40,45,15
765,40,30,14
766,40,4,13
767,40,48,12
768,40,49,11
769,40,16,10
770,40,29,9
771,40,11,8
772,40,53,7
773,40,54,6
774,40,33,5
775,40,56,4
776,40,57,3
777,40,0,2
778,40,59,1
779,41,40,20
780,41,42,18
781,41,43,17
782,41,23,16
783,41,45,15
784,41,30,14
785,41,4,13
786,41,48,12
787,41,49,11
788,41,16,10
789,41,29,9
790,41,11,8
791,41,53,7
792,41,54,6
793,41,33,5
794,41,56,4
795,41,57,3
796,41,0,2
797,41,59,1
798,42,40,20
